puzzle,algorithm_id,execution_time,expanded_nodes,generated_nodes,duplicated_nodes,aux_memory,num_pieces,steps,empty_spaces,solving_width,solved_label,algorithm,theoretical_time,theoretical_space,generated_nodes_log10,expanded_nodes_log10,aux_memory_log10,theoretical_time_log10,theoretical_space_log10
capability1,1,4e-05,2,3,0,0,1,1,34,2,Algorithm1-IW(2),Algorithm 1,1.0,1.0,0.47712125471966244,0.3010299956639812,,0.0,0.0
capability1,2,2.6e-05,2,3,0,0,1,1,34,0,Algorithm2-UCS,Algorithm 2,35.0,35.0,0.47712125471966244,0.3010299956639812,,1.5440680443502757,1.5440680443502757
capability1,3,3.3e-05,2,3,0,0,1,1,34,1,Algorithm3-IW(1),Algorithm 3,1.0,1.0,0.47712125471966244,0.3010299956639812,,0.0,0.0
capability10,1,0.002677,63,75,303,0,4,5,24,5,Algorithm1-IW(5),Algorithm 1,5.0,1.0,1.8750612633917,1.7993405494535817,,0.6989700043360189,0.0
capability10,2,0.010331,535,1162,833,0,4,5,24,0,Algorithm2-UCS,Algorithm 2,17210368.0,140.0,3.065206128054312,2.7283537820212285,,7.235790156711096,2.146128035678238
capability10,3,0.002816,63,75,303,0,4,5,24,1,Algorithm3-IW(1),Algorithm 3,20.0,4.0,1.8750612633917,1.7993405494535817,,1.3010299956639813,0.6020599913279624
capability11,2,1.810896,123022,164253,214775,0,4,13,27,0,Algorithm2-UCS,Algorithm 2,7.876627837885498e+17,403.0,5.215513310478682,5.0899827831811715,,17.896340326011273,2.6053050461411096
capability11,3,1.810962,123702,164933,219431,0,4,13,27,0,Algorithm3-UCS,Algorithm 3,195.0,15.0,5.217307558519311,5.09237672131014,,2.290034611362518,1.1760912590556813
capability12,2,0.004403,436,522,680,0,2,11,30,0,Algorithm2-UCS,Algorithm 2,3.602879701896397e+16,352.0,2.717670503002262,2.639486489268586,,16.556649761518965,2.546542663478131
capability12,3,0.006437,580,666,1128,0,2,11,30,0,Algorithm3-UCS,Algorithm 3,33.0,3.0,2.823474229170301,2.7634279935629373,,1.5185139398778875,0.47712125471966244
capability13,2,0.004651,475,601,748,0,2,8,31,0,Algorithm2-UCS,Algorithm 2,1406408618241.0,264.0,2.7788744720027396,2.6766936096248664,,12.1481115190231,2.4216039268698313
capability13,3,0.005743,589,715,1030,0,2,8,31,0,Algorithm3-UCS,Algorithm 3,24.0,3.0,2.8543060418010806,2.7701152947871015,,1.380211241711606,0.47712125471966244
capability2,1,7e-05,3,5,1,0,1,1,36,2,Algorithm1-IW(2),Algorithm 1,1.0,1.0,0.6989700043360189,0.47712125471966244,,0.0,0.0
capability2,2,4.8e-05,3,5,1,0,1,1,36,0,Algorithm2-UCS,Algorithm 2,37.0,37.0,0.6989700043360189,0.47712125471966244,,1.568201724066995,1.568201724066995
capability2,3,4.1e-05,3,5,1,0,1,1,36,1,Algorithm3-IW(1),Algorithm 3,1.0,1.0,0.6989700043360189,0.47712125471966244,,0.0,0.0
capability3,1,4.1e-05,3,5,1,0,1,1,36,2,Algorithm1-IW(2),Algorithm 1,1.0,1.0,0.6989700043360189,0.47712125471966244,,0.0,0.0
capability3,2,3.1e-05,3,5,1,0,1,1,36,0,Algorithm2-UCS,Algorithm 2,37.0,37.0,0.6989700043360189,0.47712125471966244,,1.568201724066995,1.568201724066995
capability3,3,6e-05,3,5,1,0,1,1,36,1,Algorithm3-IW(1),Algorithm 3,1.0,1.0,0.6989700043360189,0.47712125471966244,,0.0,0.0
capability4,1,3.5e-05,2,2,0,0,1,1,34,2,Algorithm1-IW(2),Algorithm 1,1.0,1.0,0.3010299956639812,0.3010299956639812,,0.0,0.0
capability4,2,2e-05,2,2,0,0,1,1,34,0,Algorithm2-UCS,Algorithm 2,35.0,35.0,0.3010299956639812,0.3010299956639812,,1.5440680443502757,1.5440680443502757
capability4,3,2.6e-05,2,2,0,0,1,1,34,1,Algorithm3-IW(1),Algorithm 3,1.0,1.0,0.3010299956639812,0.3010299956639812,,0.0,0.0
capability5,1,0.000114,8,13,8,0,1,2,34,2,Algorithm1-IW(2),Algorithm 1,2.0,1.0,1.1139433523068367,0.9030899869919435,,0.3010299956639812,0.0
capability5,2,9.9e-05,8,13,8,0,1,2,34,0,Algorithm2-UCS,Algorithm 2,1225.0,70.0,1.1139433523068367,0.9030899869919435,,3.0881360887005513,1.845098040014257
capability5,3,0.000115,8,13,8,0,1,2,34,1,Algorithm3-IW(1),Algorithm 3,2.0,1.0,1.1139433523068367,0.9030899869919435,,0.3010299956639812,0.0
capability6,1,0.000117,10,17,10,0,1,3,34,2,Algorithm1-IW(2),Algorithm 1,3.0,1.0,1.2304489213782739,1.0,,0.47712125471966244,0.0
capability6,2,9.2e-05,10,17,10,0,1,3,34,0,Algorithm2-UCS,Algorithm 2,42875.0,105.0,1.2304489213782739,1.0,,4.632204133050827,2.0211892990699383
capability6,3,0.000251,10,17,10,0,1,3,34,1,Algorithm3-IW(1),Algorithm 3,3.0,1.0,1.2304489213782739,1.0,,0.47712125471966244,0.0
capability7,1,0.000172,10,16,9,0,1,3,34,2,Algorithm1-IW(2),Algorithm 1,3.0,1.0,1.2041199826559248,1.0,,0.47712125471966244,0.0
capability7,2,9.6e-05,10,16,9,0,1,3,34,0,Algorithm2-UCS,Algorithm 2,42875.0,105.0,1.2041199826559248,1.0,,4.632204133050827,2.0211892990699383
capability7,3,0.000103,10,16,9,0,1,3,34,1,Algorithm3-IW(1),Algorithm 3,3.0,1.0,1.2041199826559248,1.0,,0.47712125471966244,0.0
capability8,1,0.001102,61,91,192,0,2,4,32,3,Algorithm1-IW(3),Algorithm 1,4.0,1.0,1.9590413923210936,1.7853298350107671,,0.6020599913279624,0.0
capability8,2,0.001014,87,193,123,0,2,4,32,0,Algorithm2-UCS,Algorithm 2,1336336.0,136.0,2.285557309007774,1.9395192526186185,,6.125915668169021,2.1335389083702174
capability8,3,0.00108,61,91,192,0,2,4,32,1,Algorithm3-IW(1),Algorithm 3,8.0,2.0,1.9590413923210936,1.7853298350107671,,0.9030899869919435,0.3010299956639812
capability9,1,0.003405,103,131,491,0,3,5,30,4,Algorithm1-IW(4),Algorithm 1,5.0,1.0,2.1172712956557644,2.012837224705172,,0.6989700043360189,0.0
capability9,2,0.012171,661,1623,1053,0,3,5,30,0,Algorithm2-UCS,Algorithm 2,39135393.0,165.0,3.210318519826232,2.82020145948564,,7.592569699389437,2.2174839442139063
